,x,y,is_goal,period,Assisted,Zone,IndividualPlay,RegularPlay,LeftFoot,RightFoot,FromCorner,FirstTouch,Head,BigChance,SetPiece,Volley,FastBreak,ThrowinSetPiece,Penalty,OneOnOne,KeyPass,DirectFreekick,OwnGoal,OtherBodyPart,DirectCorner,Angle,Distance,Binary,xG
0,80.8,51.6,False,SecondHalf,True,Center,True,True,True,,,,,,,,,,,,,,,,,1.0691442118570267,58.85108325256214,0,0.09514788871779842
1,79.3,24.2,False,SecondHalf,True,Center,True,True,,True,,,,,,,,,,,,,,,,0.7344618685152887,36.109278585981194,0,0.07928634812376266
2,80.0,59.5,False,SecondHalf,True,Center,,,,True,True,,,,,,,,,,,,,,,1.1378557862241525,65.54769256045554,0,0.10498916719443152
3,89.8,55.6,False,SecondHalf,True,Center,,,,,True,True,True,,,,,,,,,,,,,0.979893979924989,66.95259517001563,0,0.13846957587909872
4,84.9,56.2,False,SecondHalf,True,Center,,True,True,,,,,True,,,,,,,,,,,,1.0478261394107695,64.87064050863071,0,0.11781270704659133
5,88.2,57.0,False,SecondHalf,True,Center,,True,True,,,True,,,,,,,,,,,,,,1.0112513852556553,67.25689555725866,0,0.13343582995955283
6,76.8,56.4,False,SecondHalf,True,Center,True,True,True,,,,,,,,,,,,,,,,,1.1639802324296096,61.412132351840704,0,0.08894052461138341
7,87.9,68.2,False,SecondHalf,True,Center,True,True,True,,,,,,,,,,,,,,,,,1.0920159964265226,76.84009370114018,0,0.15647905761026276
8,91.9,48.8,False,SecondHalf,True,Center,,True,,,,True,True,True,,,,,,,,,,,,0.8915733428712314,62.72001275510075,0,0.1392968319915967
9,75.0,51.9,False,SecondHalf,True,Center,True,True,True,,,,,,,,,,,,,,,,,1.1617262918437716,56.56730504452196,0,0.07683528235419913
10,72.9,55.1,False,SecondHalf,True,Center,True,True,True,,,,,,,,,,,,,,,,,1.2162088990548483,58.75516998528726,0,0.07553118801822306
11,90.5,50.1,False,SecondHalf,True,Center,,,,,,True,True,,True,,,,,,,,,,,0.921888146014784,62.88091920447729,0,0.13388155492086
12,93.6,55.6,False,SecondHalf,True,Center,,,,,True,True,True,,,,,,,,,,,,,0.9342375421068623,69.14166616447712,0,0.15750223292543739
13,97.9,58.9,False,SecondHalf,True,Center,,True,True,,,,,True,,,,,,,,,,,,0.9141168523834685,74.36645749260886,0,0.18744158367634087
14,84.9,26.3,False,SecondHalf,True,Center,,True,,True,,,,,,,,,,,,,,,,0.6818516008224689,41.730684154468406,0,0.10215825063900011
15,90.6,31.7,False,SecondHalf,True,Center,,True,,True,,True,,,,,,,,,,,,,,0.6939632828101403,49.56309110618505,0,0.12675589806318605
16,90.1,36.8,False,SecondHalf,,Center,,True,,True,,,,,,,,,,,,,,,,0.7746458896063471,52.611785751863614,0,0.12305195893150304
17,87.8,42.5,False,SecondHalf,True,Center,,,,True,True,True,,,,,,,,,,,,,,0.877680297147302,55.24798638864587,0,0.11410337394234976
18,87.7,53.2,False,SecondHalf,,Center,,,,,,True,True,,True,,,,,,,,,,,0.9862719700899831,63.79090844313162,0,0.12505091395736473
19,91.8,53.8,False,SecondHalf,,Center,,True,,True,,True,,True,,,,,,,,,,,,0.9399033760494427,66.62529549653044,0,0.145373750474056
20,84.7,41.3,False,SecondHalf,True,Center,True,True,True,,,,,,,,,,,,,,,,,0.9085808255387244,52.36917031995065,0,0.09985097248097283
21,81.3,36.4,False,FirstHalf,True,Center,,True,,True,,,,,,,,,,,,,,,,0.9014389126423525,46.41551464758308,0,0.0841320422750379
22,80.1,65.2,False,FirstHalf,True,Center,True,True,,True,,,,,,,,,,,,,,,,1.1703555496915508,70.80112993448621,0,0.1170226753279675
23,87.0,60.3,False,FirstHalf,,Center,,True,True,,,,,,,,,,,,,,,,,1.0511145939600657,69.47186480871231,0,0.13426434274559604
24,91.1,28.4,False,FirstHalf,True,Center,,,True,,True,True,,,,True,,,,,,,,,,0.6343193968699078,47.92201999081424,0,0.13190180445395067
25,80.4,22.5,False,FirstHalf,True,Center,True,,True,,True,,,,,,,,,,,,,,,0.6786624907483125,35.842153953131785,0,0.08575737965608676
26,84.5,61.3,False,FirstHalf,True,Center,True,True,,True,,,,,,,,,,,,,,,,1.0896860687338097,69.14976500321602,0,0.12565221226089474
27,74.5,46.0,True,FirstHalf,True,Center,True,True,,True,,,,,,,,,,,,,,,,1.124690777851493,50.99019513592785,1,0.068407120397508
28,88.2,59.8,False,FirstHalf,True,Center,,,,,,True,True,,True,,,,,,,,,,,1.0325930258016771,69.64574646021104,0,0.13865154647689482
